instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,Spring,2011,1,0,6,0,Misty/Cloudy,14.11,18.18,80.58,10.75,331,654,985
2,2011-01-02,Spring,2011,1,0,0,0,Misty/Cloudy,14.9,17.69,69.61,16.65,131,670,801
3,2011-01-03,Spring,2011,1,0,1,1,Clear,8.05,9.47,43.73,16.64,120,1229,1349
4,2011-01-04,Spring,2011,1,0,2,1,Clear,8.2,10.61,59.04,10.74,108,1454,1562
5,2011-01-05,Spring,2011,1,0,3,1,Clear,9.31,11.46,43.7,12.52,82,1518,1600
6,2011-01-06,Spring,2011,1,0,4,1,Clear,8.38,11.66,51.83,6.0,88,1518,1606
7,2011-01-07,Spring,2011,1,0,5,1,Misty/Cloudy,8.06,10.44,49.87,11.3,148,1362,1510
8,2011-01-08,Spring,2011,1,0,6,0,Misty/Cloudy,6.76,8.11,53.58,17.88,68,891,959
9,2011-01-09,Spring,2011,1,0,0,0,Clear,5.67,5.81,43.42,24.25,54,768,822
10,2011-01-10,Spring,2011,1,0,1,1,Clear,6.18,7.54,48.29,14.96,41,1280,1321
11,2011-01-11,Spring,2011,1,0,2,1,Misty/Cloudy,6.93,9.57,68.64,8.18,43,1220,1263
12,2011-01-12,Spring,2011,1,0,3,1,Clear,7.08,8.02,59.95,20.41,25,1137,1162
13,2011-01-13,Spring,2011,1,0,4,1,Clear,6.76,7.54,47.04,20.17,38,1368,1406
14,2011-01-14,Spring,2011,1,0,5,1,Clear,6.6,9.42,53.78,8.48,54,1367,1421
15,2011-01-15,Spring,2011,1,0,6,0,Misty/Cloudy,9.57,12.41,49.88,10.58,222,1026,1248
16,2011-01-16,Spring,2011,1,0,0,0,Clear,9.5,11.71,48.38,12.63,251,953,1204
17,2011-01-17,Spring,2011,1,1,1,0,Misty/Cloudy,7.21,8.84,53.75,13.0,117,883,1000
18,2011-01-18,Spring,2011,1,0,2,1,Misty/Cloudy,8.88,11.62,86.17,9.83,9,674,683
